clip_id,audio_path,class_id,class_label,fold,hierarchy
135776-2-0-49,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/135776-2-0-49.wav,2,children_playing,1,"['human_animal', 'human', 'children_playing']"
46654-6-0-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/46654-6-0-0.wav,6,gun_shot,1,"['impact', 'hazardous', 'gun_shot']"
57320-0-0-24,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/57320-0-0-24.wav,0,air_conditioner,1,"['mechanical', 'machinery', 'air_conditioner']"
134717-0-0-26,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/134717-0-0-26.wav,0,air_conditioner,1,"['mechanical', 'machinery', 'air_conditioner']"
174276-7-5-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/174276-7-5-0.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
180937-7-2-6,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-2-6.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
17913-4-0-1,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/17913-4-0-1.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
103074-7-4-6,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/103074-7-4-6.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
176787-5-0-9,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/176787-5-0-9.wav,5,engine_idling,1,"['vehicle', 'vehicle_operation', 'engine_idling']"
55020-4-0-11,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/55020-4-0-11.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
138015-3-0-7,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/138015-3-0-7.wav,3,dog_bark,1,"['human_animal', 'animal', 'dog_bark']"
180937-7-0-4,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-0-4.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
180937-7-1-13,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-1-13.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
157867-8-0-10,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/157867-8-0-10.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
103074-7-2-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/103074-7-2-0.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
113205-5-1-4,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/113205-5-1-4.wav,5,engine_idling,1,"['vehicle', 'vehicle_operation', 'engine_idling']"
57584-4-0-8,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/57584-4-0-8.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
118279-8-0-8,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/118279-8-0-8.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
137156-9-0-73,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/137156-9-0-73.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
165645-4-1-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/165645-4-1-0.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
182800-2-2-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/182800-2-2-0.wav,2,children_playing,1,"['human_animal', 'human', 'children_playing']"
103074-7-0-2,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/103074-7-0-2.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
159738-8-0-1,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/159738-8-0-1.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
180937-7-4-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-4-0.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
164053-8-1-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/164053-8-1-0.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
159738-8-0-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/159738-8-0-0.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
132016-9-0-11,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/132016-9-0-11.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
182800-2-2-1,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/182800-2-2-1.wav,2,children_playing,1,"['human_animal', 'human', 'children_playing']"
180937-7-3-17,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-3-17.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
125791-3-0-9,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/125791-3-0-9.wav,3,dog_bark,1,"['human_animal', 'animal', 'dog_bark']"
108041-9-0-9,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/108041-9-0-9.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
197318-6-1-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/197318-6-1-0.wav,6,gun_shot,1,"['impact', 'hazardous', 'gun_shot']"
118279-8-0-9,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/118279-8-0-9.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
191431-9-0-8,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/191431-9-0-8.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
139951-9-0-33,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/139951-9-0-33.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
113205-5-1-5,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/113205-5-1-5.wav,5,engine_idling,1,"['vehicle', 'vehicle_operation', 'engine_idling']"
180937-7-1-12,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-1-12.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
180937-7-0-5,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-0-5.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
157867-8-0-11,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/157867-8-0-11.wav,8,siren,1,"['vehicle', 'vehicle_signal', 'siren']"
99180-9-0-7,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/99180-9-0-7.wav,9,street_music,1,"['human_animal', 'human', 'street_music']"
176787-5-0-8,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/176787-5-0-8.wav,5,engine_idling,1,"['vehicle', 'vehicle_operation', 'engine_idling']"
55020-4-0-10,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/55020-4-0-10.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
192124-2-0-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/192124-2-0-0.wav,2,children_playing,1,"['human_animal', 'human', 'children_playing']"
98223-7-1-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/98223-7-1-0.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
17913-4-0-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/17913-4-0-0.wav,4,drilling,1,"['mechanical', 'construction_tools', 'drilling']"
134717-0-0-27,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/134717-0-0-27.wav,0,air_conditioner,1,"['mechanical', 'machinery', 'air_conditioner']"
72261-3-0-23,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/72261-3-0-23.wav,3,dog_bark,1,"['human_animal', 'animal', 'dog_bark']"
180937-7-2-7,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/180937-7-2-7.wav,7,jackhammer,1,"['mechanical', 'construction_tools', 'jackhammer']"
143651-2-0-0,/Users/aleks/sound_datasets/urbansound8k/audio/fold1/143651-2-0-0.wav,2,children_playing,1,"['human_animal', 'human', 'children_playing']"
