clip_id,class_id,freesound_start_time,freesound_end_time,salience,slice_file_name,class_label,hierarchy
135776-2-0-49,2,24.5,28.5,2,135776-2-0-49.wav,children_playing,"['human_animal', 'human', 'children_playing']"
46654-6-0-0,6,0.084334,1.222838,1,46654-6-0-0.wav,gun_shot,"['impact', 'hazardous', 'gun_shot']"
57320-0-0-24,0,12.0,16.0,2,57320-0-0-24.wav,air_conditioner,"['mechanical', 'machinery', 'air_conditioner']"
134717-0-0-26,0,13.0,17.0,1,134717-0-0-26.wav,air_conditioner,"['mechanical', 'machinery', 'air_conditioner']"
174276-7-5-0,7,27.052745,29.925603,1,174276-7-5-0.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
180937-7-2-6,7,255.163479,259.163479,1,180937-7-2-6.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
17913-4-0-1,4,0.5,4.5,1,17913-4-0-1.wav,drilling,"['mechanical', 'construction_tools', 'drilling']"
103074-7-4-6,7,63.651482,67.651482,1,103074-7-4-6.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
176787-5-0-9,5,4.5,8.5,1,176787-5-0-9.wav,engine_idling,"['vehicle', 'vehicle_operation', 'engine_idling']"
55020-4-0-11,4,5.851364,9.851364,1,55020-4-0-11.wav,drilling,"['mechanical', 'construction_tools', 'drilling']"
138015-3-0-7,3,3.5,7.5,1,138015-3-0-7.wav,dog_bark,"['human_animal', 'animal', 'dog_bark']"
180937-7-0-4,7,173.272327,177.272327,1,180937-7-0-4.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
180937-7-1-13,7,199.915715,203.915715,1,180937-7-1-13.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
157867-8-0-10,8,5.0,9.0,1,157867-8-0-10.wav,siren,"['vehicle', 'vehicle_signal', 'siren']"
103074-7-2-0,7,42.347083,43.727176,1,103074-7-2-0.wav,jackhammer,"['mechanical', 'construction_tools', 'jackhammer']"
113205-5-1-4,5,29.04,33.04,1,113205-5-1-4.wav,engine_idling,"['vehicle', 'vehicle_operation', 'engine_idling']"
57584-4-0-8,4,4.0,8.0,2,57584-4-0-8.wav,drilling,"['mechanical', 'construction_tools', 'drilling']"
